index,time_from_trigger_s,sample_signed_approx_24bit,trigger,frame_error_latched
656,-0.555235556,-3072,0,0
657,-0.553718519,-2048,0,0
658,-0.552201481,-1024,0,0
659,-0.550684444,-1024,0,0
660,-0.549167407,-2048,0,0
661,-0.547650370,-1024,0,0
662,-0.546133333,-1024,0,0
663,-0.544616296,-2048,0,0
664,-0.543099259,-2048,0,0
665,-0.541582222,-2048,0,0
666,-0.540065185,-2048,0,0
667,-0.538548148,-1024,0,0
668,-0.537031111,-3072,0,0
669,-0.535514074,-3072,0,0
670,-0.533997037,-1024,0,0
671,-0.532480000,-5120,0,0
672,-0.530962963,-6144,0,0
673,-0.529445926,-4096,0,0
674,-0.527928889,-2048,0,0
675,-0.526411852,0,0,0
676,-0.524894815,1024,0,0
677,-0.523377778,0,0,0
678,-0.521860741,3072,0,0
679,-0.520343704,3072,0,0
680,-0.518826667,-1024,0,0
681,-0.517309630,2048,0,0
682,-0.515792593,3072,0,0
683,-0.514275556,2048,0,0
684,-0.512758519,4096,0,0
685,-0.511241481,2048,0,0
686,-0.509724444,1024,0,0
687,-0.508207407,3072,0,0
688,-0.506690370,4096,0,0
689,-0.505173333,5120,0,0
690,-0.503656296,1024,0,0
691,-0.502139259,0,0,0
692,-0.500622222,0,0,0
693,-0.499105185,1024,0,0
694,-0.497588148,-1024,0,0
695,-0.496071111,1024,0,0
696,-0.494554074,-2048,0,0
697,-0.493037037,1024,0,0
698,-0.491520000,-3072,0,0
699,-0.490002963,-3072,0,0
700,-0.488485926,-2048,0,0
701,-0.486968889,-4096,0,0
702,-0.485451852,-5120,0,0
703,-0.483934815,-3072,0,0
704,-0.482417778,-4096,0,0
705,-0.480900741,-6144,0,0
706,-0.479383704,-3072,0,0
707,-0.477866667,-6144,0,0
708,-0.476349630,-7168,0,0
709,-0.474832593,-7168,0,0
710,-0.473315556,-8192,0,0
711,-0.471798519,-8192,0,0
712,-0.470281481,-6144,0,0
713,-0.468764444,-7168,0,0
714,-0.467247407,-7168,0,0
715,-0.465730370,-7168,0,0
716,-0.464213333,-4096,0,0
717,-0.462696296,-3072,0,0
718,-0.461179259,-6144,0,0
719,-0.459662222,-3072,0,0
720,-0.458145185,-2048,0,0
721,-0.456628148,-6144,0,0
722,-0.455111111,-2048,0,0
723,-0.453594074,-2048,0,0
724,-0.452077037,-4096,0,0
725,-0.450560000,-3072,0,0
726,-0.449042963,-3072,0,0
727,-0.447525926,0,0,0
728,-0.446008889,-3072,0,0
729,-0.444491852,-1024,0,0
730,-0.442974815,2048,0,0
731,-0.441457778,2048,0,0
732,-0.439940741,2048,0,0
733,-0.438423704,3072,0,0
734,-0.436906667,5120,0,0
735,-0.435389630,3072,0,0
736,-0.433872593,2048,0,0
737,-0.432355556,2048,0,0
738,-0.430838519,0,0,0
739,-0.429321481,0,0,0
740,-0.427804444,2048,0,0
741,-0.426287407,0,0,0
742,-0.424770370,3072,0,0
743,-0.423253333,2048,0,0
744,-0.421736296,1024,0,0
745,-0.420219259,2048,0,0
746,-0.418702222,2048,0,0
747,-0.417185185,3072,0,0
748,-0.415668148,0,0,0
749,-0.414151111,2048,0,0
